timestamp,product_id,price,competitor_price,visitors,stock,promotion,day_of_week,hour,season,sales
2024-01-01 00:00:00,101,300.0,397.23,207,76,0,0,0,festive,17
2024-01-01 01:00:00,101,350.0,405.58,228,80,1,0,1,festive,35
2024-01-01 02:00:00,101,400.0,390.69,203,72,0,0,2,festive,15
2024-01-01 03:00:00,101,400.0,404.44,185,62,0,0,3,festive,15
2024-01-01 04:00:00,101,450.0,389.69,219,63,0,0,4,festive,12
2024-01-01 05:00:00,101,350.0,418.98,233,85,0,0,5,festive,28
2024-01-01 06:00:00,101,500.0,421.84,201,97,0,0,6,festive,12
2024-01-01 07:00:00,101,500.0,403.45,237,73,0,0,7,festive,11
2024-01-01 08:00:00,101,300.0,368.33,202,77,0,0,8,festive,20
2024-01-01 09:00:00,101,350.0,362.49,206,56,1,0,9,festive,23
2024-01-01 10:00:00,101,400.0,426.07,217,72,0,0,10,festive,22
2024-01-01 11:00:00,101,500.0,390.42,214,68,0,0,11,festive,11
2024-01-01 12:00:00,101,500.0,405.93,212,59,1,0,12,festive,15
2024-01-01 13:00:00,101,350.0,396.99,193,60,0,0,13,festive,15
2024-01-01 14:00:00,101,400.0,407.14,186,84,0,0,14,festive,23
2024-01-01 15:00:00,101,300.0,414.1,178,73,0,0,15,festive,24
2024-01-01 16:00:00,101,400.0,406.29,186,83,0,0,16,festive,13
2024-01-01 17:00:00,101,200.0,417.0,183,56,0,0,17,festive,30
2024-01-01 18:00:00,101,200.0,383.95,174,68,0,0,18,festive,29
2024-01-01 19:00:00,101,300.0,383.08,186,61,1,0,19,festive,33
2024-01-01 20:00:00,101,200.0,406.9,181,69,0,0,20,festive,26
2024-01-01 21:00:00,101,400.0,406.8,182,69,0,0,21,festive,8
2024-01-01 22:00:00,101,500.0,387.62,200,73,0,0,22,festive,13
2024-01-01 23:00:00,101,500.0,390.13,194,79,0,0,23,festive,10
2024-01-02 00:00:00,101,200.0,422.51,236,62,0,1,0,festive,44
2024-01-02 01:00:00,101,500.0,394.73,224,66,0,1,1,festive,16
2024-01-02 02:00:00,101,200.0,412.78,207,79,0,1,2,festive,31
2024-01-02 03:00:00,101,500.0,412.57,239,70,0,1,3,festive,18
2024-01-02 04:00:00,101,500.0,427.34,244,71,0,1,4,festive,10
2024-01-02 05:00:00,101,350.0,383.79,224,69,0,1,5,festive,23
